 Count  Overhead File                    Line Function
    42         0 @Base/multidimensional.jl  425 iterate
    42        41 …/lib/libfftw3.3.dylib    ? r2cb_12
    42         0 @ChannelFlow/src/helmoltz.jl  251 solve!(solver::InfluenceModeSolve…
    43         0 @Base/abstractarray.jl 3106 _ind2sub_recurse
    43         0 @ChannelFlow/…elds/physicalfield.jl   63 getindex
    45         3 @ChannelFlow/src/helmoltz.jl  301 solve!(solver::InfluenceModeSolve…
    46        46 @Base/int.jl             87 +
    47         0 @Base/array.jl          997 setindex!
    47        39 @Base/array.jl         1003 _setindex!
    48         0 @ChannelFlow/src/nonlinear.jl  142 _convectiveform!(Eq::NonLinearTer…
    49        49 …/lib/libfftw3.3.dylib    ? q1bv_2
    50         0 @Base/broadcast.jl      994 copyto!
    52         0 @ChannelFlow/src/helmoltz.jl  293 solve!(solver::InfluenceModeSolve…
    55         0 @ChannelFlow/…elds/spectralfield.jl   55 size
    55         0 @ChannelFlow/src/helmoltz.jl  299 solve!(solver::InfluenceModeSolve…
    57         0 @ChannelFlow/src/helmoltz.jl  252 solve!(solver::InfluenceModeSolve…
    58        58 …/lib/libfftw3.3.dylib    ? fftw_cpy2d_ci
    62         0 @ChebyshevHelmoltzSolvers/src/helmoltz.jl  128 _solve_parity!(h::ChebyshevHelmol…
    63        63 …/lib/libfftw3.3.dylib    ? t2bv_2
    65        65 @Base/broadcast.jl        ? _bcs
    65         0 @ChannelFlow/src/ffts.jl  172 (::InverseFFT!{FFTW.rFFTWPlan{Com…
    66         0 @Base/multidimensional.jl 1186 fill!
    69         0 @Base/abstractarray.jl 1070 copyto!
    70        70 @Base/int.jl             83 <
    71         0 @Base/broadcast.jl      988 copyto!
    73        73 …/lib/libfftw3.3.dylib    ? hc2cbdftv_12
    74        11 …/lib/libfftw3.3.dylib    ? apply_dif
    74         0 @ChannelFlow/src/ffts.jl   73 (::ForwardFFT!{FFTW.rFFTWPlan{Flo…
    74         0 @FFTW/src/fft.jl        530 unsafe_execute!
    77         0 @ChannelFlow/…fields/vectorfield.jl   60 copyto!(dest::VectorField{Spectra…
    78        78 …ibsystem_malloc.dylib    ? _xzm_xzone_malloc_tiny
    78         0 @ChannelFlow/…fields/vectorfield.jl   51 materialize!
    79         1 @ChebyshevHelmoltzSolvers/src/helmoltz.jl  112 solve!
    79         0 @ChebyshevHelmoltzSolvers/src/helmoltz.jl  122 _solve_parity!(h::ChebyshevHelmol…
    80        20 …/lib/libfftw3.3.dylib    ? apply_dif_dft
    83        13 @Base/simdloop.jl        75 macro expansion
    83         0 @Base/broadcast.jl      504 combine_axes
    84         0 @ChannelFlow/…elds/spectralfield.jl   50 setindex!
    87         0 @Base/abstractarray.jl   98 axes
    87        87 @Base/array.jl          194 size
    88        88 @Base/promotion.jl      637 ==
    89         5 @Base/range.jl          921 iterate
    91        91 …/lib/libfftw3.3.dylib    ? n1bv_12
    91        91 …ibsystem_malloc.dylib    ? _xzm_free
    92         0 @Base/broadcast.jl      696 _getindex
   101       101 …ibsystem_kernel.dylib    ? mach_absolute_time
   101       101 @Base/int.jl            301 div
   105         0 @Base/abstractarray.jl 1383 _getindex
   105         0 @Base/abstractarray.jl 1390 _to_subscript_indices
   105         0 @Base/abstractarray.jl 1412 _unsafe_ind2sub
   105         0 @Base/abstractarray.jl 3054 _ind2sub
   105         0 @Base/abstractarray.jl 3092 _ind2sub
   105         0 @Base/abstractarray.jl 3105 _ind2sub_recurse
   105         0 @Base/abstractarray.jl 3112 _div
   109         9 …/lib/libfftw3.3.dylib    ? fftw_tile2d
   112         0 @ChannelFlow/src/ffts.jl  169 (::InverseFFT!{FFTW.rFFTWPlan{Com…
   114         0 @ChannelFlow/…timesteppers/cnrk2.jl  196 step!(scheme::CNRK2{FourierStokes…
   122         7 @ChebyshevHelmoltzSolvers/src/helmoltz.jl  113 solve!
   127         0 @Base/broadcast.jl      947 copyto!
   128       128 @Base/broadcast.jl      535 _bcs1
   137         0 @Base/broadcast.jl      902 materialize!
   137         0 @Base/broadcast.jl      905 materialize!
   145       145 @Base/essentials.jl     920 getindex
   150       147 @Base/array.jl          991 _setindex!
   151         7 …/lib/libfftw3.3.dylib    ? fftw_malloc_plain
   153         0 …/lib/libfftw3.3.dylib    ? apply_hc2r
   155         0 @Base/array.jl          986 setindex!
   156       156 …/lib/libfftw3.3.dylib    ? fftw_cpy2d_co
   168         0 @Base/broadcast.jl      529 _bcs
   170       170 …/lib/libfftw3.3.dylib    ? n1_4
   193         0 @ChannelFlow/src/helmoltz.jl  233 solve!(solver::InfluenceModeSolve…
   200         0 @Base/broadcast.jl      523 broadcast_shape
   218         4 …/lib/libfftw3.3.dylib    ? dotile_buf
   236         1 …/lib/libfftw3.3.dylib    ? copy
   236         5 …/lib/libfftw3.3.dylib    ? fftw_cpy2d_tiledbuf
   245         0 @Base/broadcast.jl      503 combine_axes
   271         0 @ChannelFlow/src/ffts.jl   77 (::ForwardFFT!{FFTW.rFFTWPlan{Flo…
   283         0 @Base/broadcast.jl      623 _getindex
   283         0 @Base/broadcast.jl      238 axes
   283         0 @Base/broadcast.jl      240 _axes
   360         0 @ChannelFlow/…elds/spectralfield.jl   72 macro expansion
   362         0 @ChannelFlow/…elds/spectralfield.jl   71 materialize!
   365         0 @Base/abstractarray.jl 3088 offsetin
   372         0 @Base/abstractarray.jl 3065 _sub2ind
   372         0 @Base/abstractarray.jl 3081 _sub2ind_recurse
   374       374 @Base/int.jl             86 -
   381         0 @ChannelFlow/src/helmoltz.jl  572 solve!(solver::FourierStokesSolve…
