ChannelFlow: (commit = "be56ce25852e322b6e2467aa0e1de24841a55d15", dirty = true, hash = "89c365974535ef9d8a5d2304b6b2f67283afad1584fe451269cc4e42ffaa219b"); backend: (commit = "90fd15668dc78601c3d6e6f820fa1e69e59857a2", dirty = true, hash = "b1c045e8bf7a384c471dc843a4f5ff27230c24b8dca5144e0d1678c323236ff3")
 Count  Overhead File                    Line Function
    53         1 @ChebyshevHelmoltzSolvers/src/helmoltz.jl  113 solve!
    55        55 …/lib/libfftw3.3.dylib    ? t1bv_7
    56         0 @Base/broadcast.jl      947 copyto!
    59        59 @Base/broadcast.jl      535 _bcs1
    60        60 @Base/essentials.jl     920 getindex
    62         0 @Base/broadcast.jl      902 materialize!
    62         0 @Base/broadcast.jl      905 materialize!
    65        65 …/lib/libfftw3.3.dylib    ? hb_7
    66        66 …/lib/libfftw3.3.dylib    ? r2cb_7
    69         0 @Base/broadcast.jl      504 combine_axes
    70         0 @Base/abstractarray.jl   98 axes
    70        70 @Base/array.jl          194 size
    75        75 …ibsystem_malloc.dylib    ? _xzm_xzone_malloc_tiny
    76         0 @Base/broadcast.jl      529 _bcs
    86        86 …/lib/libfftw3.3.dylib    ? fftw_cpy2d_ci
    87         1 @ChannelFlow/src/helmoltz.jl  233 solve!(solver::InfluenceModeSolve…
    88         0 @Base/broadcast.jl      523 broadcast_shape
   103       103 …ibsystem_malloc.dylib    ? _xzm_free
   111         0 @Base/broadcast.jl      503 combine_axes
   127         0 @ChannelFlow/src/ffts.jl  168 (::InverseFFT!{FFTW.rFFTWPlan{Com…
   142         4 …/lib/libfftw3.3.dylib    ? fftw_malloc_plain
   154         0 @Base/broadcast.jl      623 _getindex
   155         0 @Base/broadcast.jl      238 axes
   155         0 @Base/broadcast.jl      240 _axes
   162         0 @ChannelFlow/src/helmoltz.jl  572 solve!(solver::FourierStokesSolve…
   162        13 …/lib/libfftw3.3.dylib    ? fftw_tile2d
   164         0 @ChannelFlow/…timesteppers/cnrk2.jl  202 step!(scheme::CNRK2{FourierStokes…
   164         0 @ChannelFlow/src/helmoltz.jl  546 solve!
   166       166 …/lib/libfftw3.3.dylib    ? fftw_cpy2d_co
   194         0 @Base/abstractarray.jl 3088 offsetin
   195       195 @Base/int.jl             86 -
   196         0 @Base/abstractarray.jl 3065 _sub2ind
   196         0 @Base/abstractarray.jl 3081 _sub2ind_recurse
   200         0 @Base/abstractarray.jl 1377 _to_linear_index
   200         0 @Base/abstractarray.jl 3049 _sub2ind
   211         0 @Base/broadcast.jl      652 _broadcast_getindex
   211         0 @Base/abstractarray.jl 1371 _getindex
   213         0 @Base/broadcast.jl      695 _getindex
   218         0 @Base/broadcast.jl      620 _getindex
   218         0 @Base/broadcast.jl      671 _broadcast_getindex
   223         0 @ChannelFlow/src/ffts.jl  169 (::InverseFFT!{FFTW.rFFTWPlan{Com…
   223         0 @FFTW/src/fft.jl        540 unsafe_execute!
   223        52 …/lib/libfftw3.3.dylib    ? apply_hc2r
   227         0 @ChannelFlow/src/nonlinear.jl  148 _convectiveform!(Eq::NonLinearTer…
   227         0 @ChannelFlow/…elds/gradientfield.jl   95 dot!(out::VectorField{PhysicalFie…
   227         0 @ChannelFlow/…elds/physicalfield.jl   94 materialize!
   227         0 @ChannelFlow/…elds/physicalfield.jl   95 macro expansion
   239         0 @ChannelFlow/…elds/spectralfield.jl   71 materialize!
   239         0 @ChannelFlow/…elds/spectralfield.jl   72 macro expansion
   242         0 @ChannelFlow/src/ffts.jl   73 (::ForwardFFT!{FFTW.rFFTWPlan{Flo…
   255         3 …/lib/libfftw3.3.dylib    ? dotile_buf
   258         0 @Base/broadcast.jl      624 _getindex
   260         0 @Base/abstractarray.jl 1342 getindex
   266         1 …/lib/libfftw3.3.dylib    ? fftw_cpy2d_tiledbuf
   272         7 …/lib/libfftw3.3.dylib    ? copy
   324         0 @ChannelFlow/src/nonlinear.jl  153 _convectiveform!(Eq::NonLinearTer…
   324         0 @ChannelFlow/src/ffts.jl   91 ForwardFFT!
   361         0 @ChannelFlow/src/nonlinear.jl  145 _convectiveform!(Eq::NonLinearTer…
   461         0 @Base/broadcast.jl      616 getindex
   482         0 @Base/simdloop.jl        77 macro expansion
   569        11 …/lib/libfftw3.3.dylib    ? apply_dit
   647       616 …/lib/libfftw3.3.dylib    ? apply_r2hc
   967        98 …/lib/libfftw3.3.dylib    ? apply_e
   992         0 @ChannelFlow/src/ffts.jl  167 (::InverseFFT!{FFTW.rFFTWPlan{Com…
  1042         0 @ChannelFlow/src/nonlinear.jl  146 _convectiveform!(Eq::NonLinearTer…
  1042         0 @ChannelFlow/src/ffts.jl  185 (::InverseFFT!{FFTW.rFFTWPlan{Com…
  1234         0 @FFTW/src/fft.jl        550 unsafe_execute!
  1403         0 @ChannelFlow/src/ffts.jl  176 InverseFFT!
  1660        92 …/lib/libfftw3.3.dylib    ? apply
  2007         0 @ChannelFlow/…timesteppers/cnrk2.jl  173 step!(scheme::CNRK2{FourierStokes…
  2007         0 @ChannelFlow/src/nonlinear.jl  124 NonLinearTerm
  2244         0 @juliasrc/interpreter.c  123 do_call
  2244         0 @ChannelFlow/…erf/benchmark_step.jl   17 kwcall(::@NamedTuple{record::Bool…
  2244         0 @ChannelFlow/…erf/benchmark_step.jl   73 benchmark_step(; record::Bool, pr…
  2244         0 @Profile/src/Profile.jl   60 macro expansion
  2244         0 @ChannelFlow/…erf/benchmark_step.jl   74 macro expansion
  2244         0 @ChannelFlow/…erf/benchmark_step.jl   40 (::var"#direct#17"{State{VectorFi…
  2244         0 @ChannelFlow/…timesteppers/cnrk2.jl  147 step!
  2247         3 [any unknown stackframes]
  2270         0 @juliasrc/jlapi.c      1139 jl_repl_entrypoint
  2270         0 @juliasrc/jlapi.c       971 true_main
  2270         0 @juliasrc/julia.h      2391 jl_apply
  2270         0 @julialib/julia/sys.dylib    ? jfptr__start_29115.1
  2270         0 @Base/client.jl         550 _start()
  2270         0 @Base/client.jl         317 exec_options(opts::Base.JLOptions)
  2270         0 @Base/Base.jl           306 include(mod::Module, _path::Strin…
  2270         0 @Base/loading.jl       2934 _include(mapexpr::Function, mod::…
  2270         0 @Base/loading.jl       2874 include_string(mapexpr::typeof(id…
  2270         0 @Base/boot.jl           489 eval(m::Module, e::Any)
  2270         0 @juliasrc/toplevel.c   1092 ijl_toplevel_eval_in
  2270         0 @juliasrc/toplevel.c   1047 ijl_toplevel_eval
  2270         0 @juliasrc/toplevel.c    975 jl_toplevel_eval_flex
  2270         0 @juliasrc/toplevel.c   1035 jl_toplevel_eval_flex
  2270         0 @juliasrc/interpreter.c  898 jl_interpret_toplevel_thunk
  2270         0 @juliasrc/interpreter.c  689 eval_body
  2270         0 @juliasrc/interpreter.c  194 eval_stmt_value
Total snapshots: 2622. Utilization: 100% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
