ChannelFlow: (commit = "be56ce25852e322b6e2467aa0e1de24841a55d15", dirty = true, hash = "4c25ef7b1ddb791b46547b3f9c2459abd8a65d12936fd991088642af9ca74040"); backend: (commit = "90fd15668dc78601c3d6e6f820fa1e69e59857a2", dirty = true, hash = "b1c045e8bf7a384c471dc843a4f5ff27230c24b8dca5144e0d1678c323236ff3")
FFTW planning: ESTIMATE
nonlinear: median 13.241542 ms/call
gradient: median 0.22733399999999998 ms/call
stokes: median 1.569458 ms/call
inverse_scalar: median 0.6866249999999999 ms/call
forward_scalar: median 0.670292 ms/call
inverse_chebyshev: median 0.424208 ms/call
inverse_fourier: median 0.18000000000000002 ms/call
 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
    42        42 …/lib/libfftw3.3.dylib    ? n1bv_12
    43         0 @ChannelFlow/src/ffts.jl  169 (::InverseFFT!{FFTW.rFFTWPlan{Com…
    45         5 …/lib/libfftw3.3.dylib    ? fftw_tile2d
    49         4 @ChebyshevHelmoltzSolvers/src/helmoltz.jl  113 solve!
    49        49 @Base/broadcast.jl      535 _bcs1
    53         0 …/lib/libfftw3.3.dylib    ? apply_hc2r
    53        53 …ibsystem_malloc.dylib    ? _xzm_free
    54        54 @Base/essentials.jl     920 getindex
    55         0 @Base/array.jl          986 setindex!
    55        55 @Base/array.jl          991 _setindex!
    55         0 @Base/broadcast.jl      504 combine_axes
    57         0 @Base/broadcast.jl      947 copyto!
    58        58 …/lib/libfftw3.3.dylib    ? n1_4
    59         0 @Base/broadcast.jl      902 materialize!
    59         0 @Base/broadcast.jl      905 materialize!
    62        62 …/lib/libfftw3.3.dylib    ? fftw_cpy2d_co
    63         0 @Base/abstractarray.jl   98 axes
    63        63 @Base/array.jl          194 size
    64         2 …/lib/libfftw3.3.dylib    ? fftw_malloc_plain
    67         0 @Base/broadcast.jl      529 _bcs
    78         0 @Base/broadcast.jl      523 broadcast_shape
    79         0 @ChannelFlow/src/helmoltz.jl  233 solve!(solver::InfluenceModeSolve…
    94         2 …/lib/libfftw3.3.dylib    ? dotile_buf
    97         2 …/lib/libfftw3.3.dylib    ? fftw_cpy2d_tiledbuf
    98         1 …/lib/libfftw3.3.dylib    ? copy
   110         0 @Base/broadcast.jl      503 combine_axes
   128         0 @ChannelFlow/src/ffts.jl   77 (::ForwardFFT!{FFTW.rFFTWPlan{Flo…
   129         0 @Base/abstractarray.jl 3088 offsetin
   129       129 @Base/int.jl             86 -
   132         0 @Base/abstractarray.jl 3065 _sub2ind
   132         0 @Base/abstractarray.jl 3081 _sub2ind_recurse
   132         0 @ChannelFlow/src/ffts.jl  175 (::InverseFFT!{FFTW.rFFTWPlan{Com…
   132         0 @FFTW/src/fft.jl        540 unsafe_execute!
   133         0 @ChannelFlow/…elds/spectralfield.jl   71 materialize!
   133         0 @ChannelFlow/…elds/spectralfield.jl   72 macro expansion
   136         0 @Base/abstractarray.jl 1377 _to_linear_index
   136         0 @Base/abstractarray.jl 3049 _sub2ind
   141         0 @Base/broadcast.jl      623 _getindex
   141         0 @Base/broadcast.jl      238 axes
   141         0 @Base/broadcast.jl      240 _axes
   150         0 @ChannelFlow/…timesteppers/cnrk2.jl  202 step!(scheme::CNRK2{FourierStokes…
   150         0 @ChannelFlow/src/helmoltz.jl  546 solve!
   150         2 @ChannelFlow/src/helmoltz.jl  572 solve!(solver::FourierStokesSolve…
   151         0 @Base/broadcast.jl      695 _getindex
   151         0 @Base/broadcast.jl      652 _broadcast_getindex
   151         0 @Base/abstractarray.jl 1371 _getindex
   155         0 @Base/broadcast.jl      620 _getindex
   155         0 @Base/broadcast.jl      671 _broadcast_getindex
   171         0 @ChannelFlow/src/nonlinear.jl  145 _convectiveform!(Eq::NonLinearTer…
   178         0 @ChannelFlow/src/nonlinear.jl  153 _convectiveform!(Eq::NonLinearTer…
   178         0 @ChannelFlow/src/ffts.jl   94 ForwardFFT!
   180         0 @Base/broadcast.jl      624 _getindex
   183         0 @Base/abstractarray.jl 1342 getindex
   223         0 @ChannelFlow/src/nonlinear.jl  148 _convectiveform!(Eq::NonLinearTer…
   223         0 @ChannelFlow/…elds/gradientfield.jl   95 dot!(out::VectorField{PhysicalFie…
   223         0 @ChannelFlow/…elds/physicalfield.jl   94 materialize!
   223         0 @ChannelFlow/…elds/physicalfield.jl   95 macro expansion
   277         2 …/lib/libfftw3.3.dylib    ? apply_dit
   330       314 …/lib/libfftw3.3.dylib    ? apply_r2hc
   341         0 @Base/broadcast.jl      616 getindex
   375         0 @Base/simdloop.jl        77 macro expansion
   451         0 @ChannelFlow/src/ffts.jl  168 (::InverseFFT!{FFTW.rFFTWPlan{Com…
   460        48 …/lib/libfftw3.3.dylib    ? apply_e
   499         0 @ChannelFlow/src/nonlinear.jl  146 _convectiveform!(Eq::NonLinearTer…
   499         0 @ChannelFlow/src/ffts.jl  191 (::InverseFFT!{FFTW.rFFTWPlan{Com…
   579         0 @FFTW/src/fft.jl        550 unsafe_execute!
   670         0 @ChannelFlow/src/ffts.jl  182 InverseFFT!
   870        63 …/lib/libfftw3.3.dylib    ? apply
  1118         0 @ChannelFlow/…timesteppers/cnrk2.jl  173 step!(scheme::CNRK2{FourierStokes…
  1118         0 @ChannelFlow/src/nonlinear.jl  124 NonLinearTerm
  1345         0 @ChannelFlow/…erf/benchmark_step.jl   40 (::var"#direct#26"{State{VectorFi…
  1345         0 @ChannelFlow/…timesteppers/cnrk2.jl  147 step!
  1346         0 @juliasrc/interpreter.c  123 do_call
  1346         0 @ChannelFlow/…erf/benchmark_step.jl   17 kwcall(::@NamedTuple{record::Bool…
  1346         0 @ChannelFlow/…erf/benchmark_step.jl   92 benchmark_step(; record::Bool, pr…
